Date,Rented_Bike_Count,Hour,Temperature_c,Humidity_percent,Wind speed_m_s,Visibility_10m,Dew point temperature_k,Solar Radiation (MJ/m2),Rainfall(mm),Snowfall (cm),Seasons,Holiday,Functioning Day
1/12/17,254,0,-5.2,37,2.2,2000,255.55,0,0,0,Winter,No Holiday,Yes
1/12/17,204,1,-5.5,38,0.8,2000,255.55,0,0,0,Winter,No Holiday,Yes
1/12/17,173,2,-6,39,1,2000,255.45,0,0,0,Winter,No Holiday,Yes
1/12/17,107,3,-6.2,40,0.9,2000,255.55,0,0,0,Winter,No Holiday,Yes
1/12/17,78,4,-6,36,2.3,2000,254.55,0,0,0,Winter,No Holiday,Yes
1/12/17,100,5,-6.4,37,1.5,2000,254.45,0,0,0,Winter,No Holiday,Yes
1/12/17,181,6,-6.6,35,1.3,2000,253.65,0,0,0,Winter,No Holiday,Yes
1/12/17,460,7,-7.4,38,0.9,2000,253.85,0,0,0,Winter,No Holiday,Yes
1/12/17,930,8,-7.6,37,1.1,2000,253.35,0.01,0,0,Winter,No Holiday,Yes
1/12/17,490,9,-6.5,27,0.5,1928,250.75,0.23,0,0,Winter,No Holiday,Yes
1/12/17,339,10,-3.5,24,1.2,1996,251.95,0.65,0,0,Winter,No Holiday,Yes
1/12/17,360,11,-0.5,21,1.3,1936,252.95,0.94,0,0,Winter,No Holiday,Yes
1/12/17,449,12,1.7,23,1.4,2000,255.95,1.11,0,0,Winter,No Holiday,Yes
1/12/17,451,13,2.4,25,1.6,2000,257.55,1.16,0,0,Winter,No Holiday,Yes
1/12/17,447,14,3,26,2,2000,258.55,1.01,0,0,Winter,No Holiday,Yes
1/12/17,463,15,2.1,36,3.2,2000,261.75,0.54,0,0,Winter,No Holiday,Yes
1/12/17,484,16,1.2,54,4.2,793,266.15,0.24,0,0,Winter,No Holiday,Yes
1/12/17,555,17,0.8,58,1.6,2000,266.65,0.08,0,0,Winter,No Holiday,Yes
1/12/17,862,18,0.6,66,1.4,2000,268.15,0,0,0,Winter,No Holiday,Yes
1/12/17,600,19,0,77,1.7,2000,269.65,0,0,0,Winter,No Holiday,Yes
1/12/17,426,20,-0.3,79,1.5,1913,269.65,0,0,0,Winter,No Holiday,Yes
1/12/17,405,21,-0.8,81,0.8,1687,269.55,0,0,0,Winter,No Holiday,Yes
1/12/17,398,22,-0.9,83,1.5,1380,269.75,0,0,0,Winter,No Holiday,Yes
1/12/17,323,23,-1.3,84,1,1265,269.55,0,0,0,Winter,No Holiday,Yes
2/12/17,328,0,-1.8,87,1.1,994,269.55,0,0,0,Winter,No Holiday,Yes
2/12/17,308,1,-2.2,86,0.6,990,268.95,0,0,0,Winter,No Holiday,Yes
2/12/17,262,2,-2.9,86,1.5,1256,268.25,0,0,0,Winter,No Holiday,Yes
2/12/17,167,3,-3.5,81,2.2,1221,266.95,0,0,0,Winter,No Holiday,Yes
2/12/17,89,4,-3.8,79,2,1167,266.25,0,0,0,Winter,No Holiday,Yes
2/12/17,79,5,-4,79,1.5,1202,266.05,0,0,0,Winter,No Holiday,Yes
2/12/17,70,6,-4.3,82,2.1,1178,266.25,0,0,0,Winter,No Holiday,Yes
2/12/17,146,7,-4.4,81,2.5,1276,266.05,0,0,0,Winter,No Holiday,Yes
